,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
324,1630558,Davion Mitchell,1610612761,TOR,2021.0,2024.0,N
325,1628378,Donovan Mitchell,1610612739,CLE,2017.0,2024.0,N
326,1630596,Evan Mobley,1610612739,CLE,2021.0,2024.0,N
327,1630600,Isaiah Mobley,1610612739,CLE,2022.0,2024.0,N
328,1628370,Malik Monk,1610612758,SAC,2017.0,2024.0,N
329,1630541,Moses Moody,1610612744,GSW,2021.0,2024.0,N
330,1631111,Wendell Moore Jr.,1610612765,DET,2022.0,2024.0,N
331,1629630,Ja Morant,1610612763,MEM,2019.0,2024.0,N
332,202693,Markieff Morris,1610612742,DAL,2011.0,2024.0,N
333,1628420,Monte Morris,1610612756,PHX,2017.0,2024.0,N
334,202694,Marcus Morris Sr.,1610612739,CLE,2011.0,2024.0,N
335,1630530,Trey Murphy III,1610612740,NOP,2021.0,2024.0,N
336,1627749,Dejounte Murray,1610612740,NOP,2016.0,2024.0,N
337,1627750,Jamal Murray,1610612743,DEN,2016.0,2024.0,N
338,1631099,Keegan Murray,1610612758,SAC,2022.0,2024.0,N
339,1631200,Kris Murray,1610612757,POR,2023.0,2024.0,N
340,203488,Mike Muscala,1610612760,OKC,2013.0,2023.0,N
341,1629004,Svi Mykhailiuk,1610612738,BOS,2018.0,2024.0,N
342,1626204,Larry Nance Jr.,1610612737,ATL,2015.0,2024.0,N
343,1629614,Andrew Nembhard,1610612754,IND,2022.0,2024.0,N
344,1630174,Aaron Nesmith,1610612754,IND,2020.0,2024.0,N
345,1627777,Georges Niang,1610612739,CLE,2016.0,2024.0,N
346,1630227,Daishen Nix,1610612750,MIN,2021.0,2024.0,N
347,1630192,Zeke Nnaji,1610612743,DEN,2020.0,2024.0,N
348,1641936,Miles Norris,0,,,,N
349,1641806,Markquis Nowell,0,,2023.0,2023.0,N
350,1628373,Frank Ntilikina,0,,2017.0,2023.0,N
