"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"Tobias Harris",0.535,6.5,3.1,1,0.7,17.2,16.5,20.7,5.9,0.9,1.7,"PF",31.8,"$36,000,000.00"
"Torrey Craig",0.55,4.1,1.1,0.6,0.4,5.7,10.8,12.5,1.9,-2,0,"SF",33.4,"$2,686,788.00"
"Trendon Watford",0.571,3.1,1.3,0.4,0.3,6.9,15.7,21.1,1.8,-0.5,0.3,"PF",23.6,"$2,019,706.00"
"Trent Forrest",0.389,1.3,2.4,0.3,0.1,2.2,8.9,11.8,0.2,-4.4,-0.3,"PG",26,"$553,151.00"
"Trevelin Queen",0.408,1.4,1.3,0.5,0.4,2.9,8.3,13.3,0.2,-3.4,-0.1,"SG",27.2,"$0.00"
"Tristan Thompson",0.608,3.6,1,0.2,0.3,3.3,13.9,13.8,1.4,-1.4,0.1,"C",33.2,"$3,196,448.00"
"Tristan Vukcevic",0.507,3.6,1.3,0.5,0.7,8.5,13.9,23.9,0.1,-3.6,-0.1,"C",21.2,"$2,424,892.00"
"Tyrese Maxey",0.524,3.7,6.2,1,0.5,25.9,19.8,28,8.1,3.1,3.4,"PG",23.6,"$3,038,140.00"
"TyTy Washington Jr.",0.35,0.5,0.5,0.3,0,1.3,4.6,17,-0.1,-8.2,-0.1,"PG",22.5,"$0.00"
"Tyus Jones",0.569,2.7,7.3,1.1,0.3,12,16.5,16.3,4.5,0.7,1.3,"PG",28.1,"$14,500,000.00"
"Udoka Azubuike",0.696,2,0.2,0.1,0.4,2.2,12.3,12.6,0.2,-3.2,0,"C",24.7,"$2,537,811.00"
"Usman Garuba",0.167,1.2,0.2,0.2,0.5,0.5,7,20.8,0,-10.9,0,"PF",22.2,"$11,608.00"
"Vlatko Cancar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PF",27.2,"$2,271,775.00"
"Wesley Matthews",0.474,1.5,0.6,0.4,0.3,3.1,8.2,11.7,0.4,-2.8,-0.1,"SG",37.6,"$3,196,448.00"
"Xavier Moon",0.348,1.3,1.5,0.2,0.2,2.4,8.1,19.1,-0.1,-6.1,-0.1,"SG",29.4,"$0.00"
"Xavier Tillman",0.47,3.9,1.4,0.9,0.8,5.3,12.2,14.8,1.4,-1.2,0.2,"C",25.4,"$1,632,821.00"
"Yuta Watanabe",0.461,1.6,0.4,0.4,0.2,3.4,4.7,13.3,-0.1,-6.4,-0.5,"SF",29.6,"$2,500,629.00"
