team,year,Name,Season,isAllStar
OKC,2022,Shai Gilgeous-Alexander,2022-23,1
MIL,2022,Jrue Holiday,2022-23,1
DAL,2022,Kyrie Irving,2022-23,1
PHI,2022,Joel Embiid,2022-23,1
DEN,2022,Nikola Jokic,2022-23,1
DAL,2022,Luka Doncic,2022-23,1
LAL,2022,LeBron James,2022-23,1
BOS,2022,Jaylen Brown,2022-23,1
NYK,2022,Julius Randle,2022-23,1
LAC,2022,Paul George,2022-23,1
MIN,2022,Anthony Edwards,2022-23,1
IND,2022,Tyrese Haliburton,2022-23,1
SAC,2022,De'Aaron Fox,2022-23,1
MEM,2022,Jaren Jackson Jr.,2022-23,1
